ID,category
ARTIFACT-5.1,Technical Difficulty Detection (Audio Freeze) / False Pause (Muted Microphone)
ARTIFACT-5.2,Technical Difficulty Detection (Video Freeze)
ARTIFACT-5.3,Environmental Distraction Recognition
BODY-1.1,Gesticulating / Animated Hand/Body Motion
BODY-1.2,Gesture Mimicking
BODY-1.3,Adaptor Handling (Fidgeting/Self-touch)
BODY-1.4,User Affect Display (Body-based Emotion) Perception
DIALOGUE-4.1,User Verbal Interrupt
DIALOGUE-4.2,User Nonverbal Interrupt
DIALOGUE-4.3,Turn-Taking
DIALOGUE-4.4,Pause Handling
DIALOGUE-4.5,Agent Verbal Backchanneling
DIALOGUE-4.6,Agent Nonverbal Backchanneling
DIALOGUE-4.7,User Nonverbal Backchannel Recognition
DIALOGUE-4.8,User Verbal Backchannel Recognition
EXTRA-6.1,Yawn
EXTRA-6.2,Sneeze
EXTRA-6.3,Laugh
EXTRA-6.4,Joint Laughter
EYE-3.1,Gaze Awareness & Attention Tracking
EYE-3.2,Gaze Avoidance Detection
FACE-2.1,User Facial Emotion Perception
FACE-2.2,Agent Emotional Synchrony
FACE-2.3,Emotional Incongruence Detection (Sarcasm)
